date,Ahvaz,Arak,Ardabil,Bandar `Abbas,Bandar-e Bushehr,Birjand,Bojnurd,Esfahan
16-10-1919 00:00,3.600000143,4.700000286,83.80000305,1.5,0,2.5,11.10000038,0.600000024
16-11-1919 00:00,16.89999962,6.400000095,64,5.5,0,8.5,16.20000076,0
16-12-1919 00:00,57.70000076,60.60000229,48.79999924,25.20000076,44,19.80000114,23.30000114,31.5
16-01-1920 00:00,93.09999847,83.59999847,48.60000229,38.90000153,116,32.5,36.5,44.5
15-02-1920 00:00,58.70000076,79.20000458,45.79999924,45.60000229,108.5999985,35.90000153,50.60000229,27.5
16-03-1920 00:00,19.60000038,42.60000229,62.40000153,35.20000076,0.100000001,36.5,39.60000229,10.5
16-04-1920 00:00,14.5,75.5,66.5,12.90000057,0.100000001,35.40000153,75.20000458,19.89999962
16-05-1920 00:00,2.900000095,24.60000038,71.40000153,5.200000286,0,12,104.8000031,2.900000095
16-06-1920 00:00,0,1,41.70000076,0.200000003,0,1.300000072,10.80000019,0.100000001
16-07-1920 00:00,0,1.800000072,26.5,0.900000036,0,0.600000024,2.200000048,0.5
16-08-1920 00:00,0,2.100000143,43.29999924,2.600000143,0,0.800000012,5.300000191,0.200000003
16-09-1920 00:00,0.200000003,0.600000024,74.80000305,0.699999988,0,0,11,0
16-10-1920 00:00,3.5,15,94.5,1.5,0,2.400000095,7.400000095,1.600000024
16-11-1920 00:00,41,72.90000153,73.80000305,5.5,9.800000191,9.199999809,28.70000076,34
16-12-1920 00:00,74.5,76.80000305,45,25.20000076,119.0999985,18.5,9.800000191,42.5
16-01-1921 00:00,53.40000153,31.30000114,16.80000114,38.90000153,45.70000076,29.60000038,12.69999981,10.90000057
15-02-1921 00:00,27.89999962,54.60000229,65.80000305,45.60000229,14.90000057,32.5,21.80000114,11.19999981
16-03-1921 00:00,22.39999962,46.5,71.20000458,35.20000076,0.300000012,38.29999924,62.60000229,15.90000057
16-04-1921 00:00,15.80000019,95.09999847,57.90000153,12.90000057,3,33.90000153,51,23.89999962
16-05-1921 00:00,11.90000057,104.4000015,13,5.200000286,1.700000048,10.90000057,60.60000229,44.10000229
16-06-1921 00:00,0,0.5,29,0.200000003,0,1.399999976,18.20000076,0
16-07-1921 00:00,0,0.5,33.90000153,0.900000036,0,0.600000024,5.599999905,0
16-08-1921 00:00,0,0.5,79.09999847,2.600000143,0,0.900000036,6.5,0
16-09-1921 00:00,0.100000001,0.200000003,86.90000153,0.699999988,0,0,1.200000048,0
16-10-1921 00:00,3.400000095,5,29.70000076,1.5,0,2.400000095,0.699999988,0.200000003
16-11-1921 00:00,52.10000229,66.30000305,110.5,5.5,29.10000038,8.5,13.80000019,32
16-12-1921 00:00,46,23.60000038,56.20000076,25.20000076,77.80000305,19.70000076,23.30000114,2.799999952
16-01-1922 00:00,39.70000076,25.60000038,71.09999847,38.90000153,4,31.80000114,37.29999924,2.600000143
15-02-1922 00:00,33.5,98.59999847,43.10000229,45.60000229,18.89999962,38.79999924,78.20000458,24.70000076
16-03-1922 00:00,40,95.30000305,14.90000057,35.20000076,1.100000024,38.29999924,42.40000153,57.79999924
16-04-1922 00:00,12.10000038,23.39999962,104.7000046,12.90000057,0,33.40000153,39.20000076,3
16-05-1922 00:00,2.900000095,30.10000038,11.80000019,5.200000286,0,11,40.40000153,3.799999952
16-06-1922 00:00,0,0.5,18.30000114,0.200000003,0,1.200000048,14.40000057,0
16-07-1922 00:00,0,0.200000003,28.89999962,0.900000036,0,0.600000024,0.100000001,0
16-08-1922 00:00,0,0.200000003,44.70000076,2.600000143,0,0.699999988,0.100000001,0
16-09-1922 00:00,0.100000001,0.100000001,69,0.699999988,0,0,0.100000001,0
16-10-1922 00:00,3.400000095,3.600000143,49.10000229,1.5,0,2.299999952,1.700000048,0
16-11-1922 00:00,16.89999962,6.400000095,65.30000305,5.5,0,9,15,0
